state,county,tract,med_house_val,med_room,med_yrBuilt,r_se_nat,r_ed_nat,lfpr,r_he_nat,jobs_idx,schl_idx,ur,pct_ba,pct_hs,pop,white,black,CBSA,area
39,85,200400,119400,5.5,1959,64,60,0.695033113,57,42.41024214,59.11967715,0.055740829,0.171361502,0.727308294,3511,3378,86,17460,1774676
39,85,200500,124000,6.1,1956,89,54,0.732157177,65,25.66403162,64.27272727,0.032311062,0.267572634,0.663542643,3084,2998,35,17460,1452283
39,85,200600,122700,6.2,1957,90,44,0.686944634,52,38,80.32116355,0.06318408,0.240241449,0.697384306,3479,3221,68,17460,3555188
39,85,200700,110400,5.5,1958,67,47,0.677470107,51,57.81832797,73.54501608,0.059916396,0.252661462,0.65046132,3774,3340,245,17460,1895219
39,85,200800,137100,6.2,1960,68,54,0.681140206,47,57.77567568,64,0.031143552,0.214495953,0.729212656,3512,3033,290,17460,4058997
39,85,200900,111200,6.3,1956,66,39,0.646419437,35,60.00359159,44.51257055,0.027695351,0.290598291,0.63014763,1978,1872,86,17460,2427459
39,85,201000,257200,5,1972,51,76,0.676226753,42,68.74129747,61.86867089,0.033465871,0.372360331,0.549318364,4821,3341,1266,17460,10299788
39,85,201100,252800,4.9,1975,77,82,0.585322499,65,61.96658388,64,0.020390456,0.422253521,0.527042254,4706,3328,849,17460,17572262
39,85,201200,105800,4.6,1977,54,77,0.58374143,38,73.15926815,59.54619076,0.010626398,0.302640971,0.616702355,3493,3099,218,17460,3680626
39,85,201300,146900,5.1,1973,69,72,0.514851485,35,82.91222402,57.99030695,0.037406484,0.341556637,0.605628909,3548,3344,123,17460,3506683
39,85,201400,164900,5.7,1945,80,67,0.742958886,66,83.36164928,31,0.012636166,0.369699166,0.575208409,3562,3541,0,17460,3228185
39,85,201500,179300,6.3,1963,74,60,0.711360312,79,73.33400504,52.67002519,0.041809459,0.371900826,0.560330579,2608,2382,146,17460,7903453
39,85,201600,203100,6.6,1991,87,69,0.699929972,64,20.87115589,51.47242842,0.023011506,0.395919909,0.572723838,3520,3245,128,17460,3684152
39,85,201700,119100,5.6,1978,52,58,0.716984885,58,6.944454662,40.4318558,0.035774176,0.20110957,0.738788719,6138,5424,379,17460,4542731
39,85,201800,147800,6.8,1969,83,55,0.638628276,75,8.386504723,45.79757085,0.048632219,0.189662028,0.734393638,3828,3585,190,17460,1921910
39,85,201900,153000,5.8,1974,58,60,0.629705401,52,7,40,0.043534763,0.19549218,0.715731371,2830,2480,284,17460,3333912
39,85,202000,133000,6.1,1972,78,45,0.687156738,57,25.9343041,44.15628175,0.054411313,0.180762434,0.739207271,5485,5117,208,17460,5817894
39,85,202100,110100,4.7,1965,23,48,0.711716341,50,72,40.78508217,0.079422383,0.099360837,0.771644393,2187,1873,209,17460,3624502
39,85,202400,130500,6.3,1963,72,63,0.621522694,56,5.494709843,67,0.041813899,0.192652713,0.724049551,3060,3043,0,17460,1875715
39,85,202500,136600,5.3,1976,41,70,0.706190061,73,9.407724329,61.55966698,0.019753086,0.247191011,0.684401851,4331,3937,115,17460,2302296
39,85,202600,110800,5.8,1957,53,51,0.655016181,65,10.07600827,83,0.05187747,0.134350036,0.751270879,3657,3609,0,17460,7368844
39,85,202700,217400,7.6,1979,94,75,0.671786121,82,37.27255491,81.54068573,0.05193339,0.414345251,0.543978943,6533,6208,87,17460,9942306
39,85,202800,163700,6.4,1969,93,68,0.593977365,79,70.48494375,59.65701522,0.020415107,0.287909152,0.627922512,5781,5554,24,17460,6172728
39,85,202900,158700,6.4,1973,94,74,0.642011295,85,18.03421553,63.19067115,0.040578888,0.260798362,0.677993859,6813,6774,21,17460,6229356
39,85,203000,171700,6.9,1975,94,77,0.67565123,62,46.22639225,63.46368039,0.020615797,0.308194649,0.624815673,6476,6458,1,17460,5051963
39,85,203200,160200,5.4,1967,60,75,0.71622091,50,78.53879686,68.01424005,0.045586809,0.275967804,0.616328095,3317,3147,18,17460,5024393
39,85,203400,156500,6.2,1960,77,77,0.628810359,65,92,80.10746685,0.048477048,0.323271959,0.593721702,4291,3999,46,17460,6106632
39,85,203500,217000,7.4,1983,95,86,0.601790936,85,76.91012073,79.77880459,0.012450653,0.380601358,0.579243453,6634,6349,83,17460,8729267
39,85,203700,351800,7.4,1980,72,68,0.635420154,90,59.35648995,87.97989031,0.018440464,0.421716145,0.499796665,3388,3152,34,17460,29837078
39,85,204000,104500,5.3,1948,44,14,0.614475628,26,17.10614345,47.24798971,0.0546875,0.237791932,0.678980892,3077,2954,32,17460,2660123
39,85,204200,93800,5.7,1957,13,10,0.694385217,18,14.65756146,31,0.133060389,0.100085911,0.681701031,4030,2555,938,17460,5685764
39,85,204301,227600,5.1,2007,88,73,0.859844271,44,22,52,0.028460543,0.402370555,0.560199626,2447,2059,294,17460,2671022
39,85,204302,103300,5.6,1963,50,17,0.654438406,44,10.26082991,27.58139535,0.055709343,0.137220259,0.723792697,5570,3809,1066,17460,4125935
39,85,204400,105400,5.4,1958,36,14,0.68386346,28,3.862745098,29.63757116,0.061259217,0.170539033,0.540427509,3529,2610,236,17460,3455151
39,85,204500,88500,5,1939,7,13,0.524002494,14,8.543622512,22.78520521,0.078994614,0.107294481,0.686607487,4233,2224,649,17460,1482954
39,85,204700,135900,6.1,1971,46,73,0.632911392,68,26.1287234,82,0.1024,0.237397916,0.697268375,4589,4330,116,17460,4437673
39,85,204800,153600,6,1992,78,44,0.648229015,57,1.855592169,63.9833301,0.049401198,0.2176781,0.708707124,5422,5279,26,17460,16266366
39,85,204900,181600,7,1973,74,55,0.657345576,62,0,56.66371386,0.039047619,0.267509482,0.684702908,5785,5621,35,17460,13565483
39,85,205001,209000,7.3,1984,85,79,0.585577362,70,39.89808052,80.56667233,0,0.420264093,0.535551041,5427,5099,20,17460,6933498
39,85,205002,206600,7.1,1982,92,80,0.663786008,79,8.615847706,81.62951513,0.025108493,0.360873694,0.605650522,5826,5668,4,17460,17943712
